date,sessions
2022-01-01,1037.0
2022-01-02,1098.0
2022-01-03,1690.0
2022-01-04,1517.0
2022-01-05,1451.0
2022-01-06,3706.0
2022-01-07,1437.0
2022-01-08,1091.0
2022-01-09,1064.0
2022-01-10,1690.0
2022-01-11,1434.0
2022-01-12,1577.0
2022-01-13,1557.0
2022-01-14,1464.0
2022-01-15,1022.0
2022-01-16,1023.0
2022-01-17,1628.0
2022-01-18,1514.0
2022-01-19,1500.0
2022-01-20,1479.0
2022-01-21,1528.0
2022-01-22,1020.0
2022-01-23,1037.0
2022-01-24,1642.0
2022-01-25,1507.0
2022-01-26,1558.0
2022-01-27,1469.0
2022-01-28,1518.0
2022-01-29,1071.0
2022-01-30,1014.0
2022-01-31,1687.0
2022-02-01,1468.0
2022-02-02,1452.0
2022-02-03,1587.0
2022-02-04,1590.0
2022-02-05,1097.0
2022-02-06,1044.0
2022-02-07,1606.0
2022-02-08,1550.0
2022-02-09,1513.0
2022-02-10,1466.0
2022-02-11,1523.0
2022-02-12,1017.0
2022-02-13,1111.0
2022-02-14,1638.0
2022-02-15,1551.0
2022-02-16,1498.0
2022-02-17,1530.0
2022-02-18,1535.0
2022-02-19,1036.0
2022-02-20,1121.0
2022-02-21,1729.0
2022-02-22,1597.0
2022-02-23,1591.0
2022-02-24,1546.0
2022-02-25,1597.0
2022-02-26,1029.0
2022-02-27,1041.0
2022-02-28,1610.0
2022-03-01,1507.0
2022-03-02,1518.0
2022-03-03,1500.0
2022-03-04,1587.0
2022-03-05,1060.0
2022-03-06,1052.0
2022-03-07,1699.0
2022-03-08,1483.0
2022-03-09,1585.0
2022-03-10,1474.0
2022-03-11,1615.0
2022-03-12,1108.0
2022-03-13,1046.0
2022-03-14,1612.0
2022-03-15,1591.0
2022-03-16,1575.0
2022-03-17,1579.0
2022-03-18,1586.0
2022-03-19,1035.0
2022-03-20,1066.0
2022-03-21,1635.0
2022-03-22,1603.0
2022-03-23,1566.0
2022-03-24,1522.0
2022-03-25,1481.0
2022-03-26,1064.0
2022-03-27,1066.0
2022-03-28,1744.0
2022-03-29,1572.0
2022-03-30,1611.0
2022-03-31,1548.0
2022-04-01,1493.0
2022-04-02,1110.0
2022-04-03,1116.0
2022-04-04,1720.0
2022-04-05,1597.0
2022-04-06,1555.0
2022-04-07,1560.0
2022-04-08,1545.0
2022-04-09,1038.0
2022-04-10,1048.0
2022-04-11,1634.0
2022-04-12,1580.0
2022-04-13,1531.0
2022-04-14,1562.0
2022-04-15,1625.0
2022-04-16,1066.0
2022-04-17,1084.0
2022-04-18,1763.0
2022-04-19,1521.0
2022-04-20,1498.0
2022-04-21,1532.0
2022-04-22,1512.0
2022-04-23,1143.0
2022-04-24,1130.0
2022-04-25,1747.0
2022-04-26,1626.0
2022-04-27,1616.0
2022-04-28,1520.0
2022-04-29,1631.0
2022-04-30,1103.0
2022-05-01,1133.0
2022-05-02,1797.0
2022-05-03,1543.0
2022-05-04,1511.0
2022-05-05,1530.0
2022-05-06,1562.0
2022-05-07,1137.0
2022-05-08,1142.0
2022-05-09,1647.0
2022-05-10,1578.0
2022-05-11,1563.0
2022-05-12,1533.0
2022-05-13,1518.0
2022-05-14,1087.0
2022-05-15,1154.0
2022-05-16,1707.0
2022-05-17,1583.0
2022-05-18,1613.0
2022-05-19,1560.0
2022-05-20,1657.0
2022-05-21,1159.0
2022-05-22,1081.0
2022-05-23,1742.0
2022-05-24,1553.0
2022-05-25,1551.0
2022-05-26,1512.0
2022-05-27,1604.0
2022-05-28,1111.0
2022-05-29,1061.0
2022-05-30,1708.0
2022-05-31,1653.0
2022-06-01,1238.0
2022-06-02,1227.0
2022-06-03,1271.0
